Unnamed: 0,Date,text_headlines
202,2021-07-08 03:05:00,how to get people to use store credit cards more personalized rewards and split-pay services says synchrony ceo
362,2021-02-09 06:27:00,biden and yellen discuss $19 trillion covid relief plan with jpmorgan walmart gap ceos
625,2020-03-05 04:30:00,gap chooses old navy leader as new ceo
659,2019-11-09 10:26:00,old navy spinoff thrown into question by the departure of gap ceo art peck
662,2019-11-08 07:45:00,gap ceo departure the latest spot of bad news for embattled retailer
664,2019-11-07 09:49:00,gap says ceo art peck is stepping down and issues earnings warning
666,2019-11-07 04:27:00,gap stock falls 10percent on news ceo art peck will leave company
667,2019-11-07 04:22:00,gap inc stock falls nearly 8percent after ceo news
668,2019-11-07 04:22:00,gap's chairman robert j fisher to serve as interim president and ceo
669,2019-11-07 04:21:00,gap inc ceo art peck to step down
711,2019-07-05 10:01:00,pagerduty’s jennifer tejada is ‘not your typical ceo’ in silicon valley but hopes to change that
762,2019-01-28 06:55:00,gold’s gym is taking over vacated sears locations
815,2018-06-13 04:25:00,gap hires former billabong eddie bauer ceo
819,2018-05-28 05:23:00,ceo pay ratio disclosures provide little more than noise for investors
852,2018-02-20 09:12:00,update gap shares slide7percent premarket on news gap brand ceo jeff kirwan is leaving
857,2018-02-07 03:58:00,lululemon ceo’s resignation opens the door for former ralph lauren ceo stefan larsson
910,2017-06-08 07:45:00,j crew has a new ceo but that won’t fix its debt problem
942,2017-03-14 04:21:00,gap appoints former gymboree ceo to lead banana republic
947,2017-02-23 07:28:00,ceo brushes off reports gap is dead dying or sick
958,2017-02-14 03:37:00,target gap other retail ceos head to dc for border-tax fight report
965,2017-02-03 00:55:00,ralph lauren ceo’s departure creates uncertainty about the ‘way forward’
966,2017-02-02 11:52:00,ralph lauren ceo quits after clash with founder
967,2017-02-02 08:55:00,ralph lauren ceo to leave after less than 2 years
1060,2016-08-11 07:49:00,gap names hasbro ceo brian goldner to board
1111,2016-05-18 04:57:00,gap ceo says he would sell merchandise on amazon
1242,2015-10-01 00:49:00,is ralph lauren’s new ceo upmarket enough
1254,2015-09-30 00:01:00,ralph lauren’s new ceo adds horsepower to stock
1255,2015-09-29 04:31:00,ralph lauren hands ceo role of his company to former old navy president
1307,2015-05-21 04:19:00,gap q1 profit sales drop; ceo vows to focus on 'greater product acceptance
1364,2015-02-26 09:01:00,updates advisories and surprises
1391,2015-02-09 05:31:00,updates advisories and surprises
1402,2015-01-22 02:21:00,eddie lampert is down $200 million on lands’ end and sears in a single day
1420,2014-12-04 05:01:00,updates advisories and surprises
1444,2014-11-06 06:31:00,updates advisories and surprises
1462,2014-10-08 05:18:00,gap ceo glenn murphy to step down apparel retailer names digital head art peck as new ceo
1463,2014-10-08 04:24:00,gap ceo and chairman to retire in february 2015
1465,2014-10-08 04:04:00,gap ceo & chair glenn murphy to retire end of year
1472,2014-09-04 04:31:00,updates advisories and surprises
1551,2014-04-02 07:01:00,how ceos can save the world from global warming
1581,2014-01-10 05:35:00,alcoa sears abercrombie & fitch are stocks to watch
1626,2013-08-22 09:12:00,h-p gamestop sears are stocks to watch thursday
1642,2013-05-23 05:04:00,pandora jumps sears tanks after hours
1644,2013-05-23 08:52:00,h-p sears are thursday’s stocks to watch
1677,2013-02-28 09:57:00,jc penney sears kohl's drop; limited gap up
1738,2012-10-04 05:31:00,updates advisories and surprises
1772,2012-08-16 04:31:00,updates advisories and surprises
1783,2012-08-10 08:58:00,sears financial play or retail turnaround
1804,2012-05-31 08:31:00,updates advisories and surprises
1812,2012-05-17 05:01:00,updates advisories and surprises
1830,2012-05-01 10:29:00,sears jumps on forecast; avon drops on result
1841,2012-04-03 00:45:00,gap ceo's compensation climbs 64percent to $97 million
1909,2011-11-17 05:01:00,updates advisories and surprises
1948,2011-09-19 09:46:00,stein mart drops on ceo leaving; pier 1 raised
1968,2011-08-17 05:14:00,stocks to watch thursday netapp sears more
1974,2011-08-04 06:01:00,updates advisories and surprises
1999,2011-06-02 05:01:00,updates advisories and surprises
2006,2011-05-23 11:25:00,gap rises; sears paces retail-sector drop
2033,2011-05-19 06:31:00,stocks to watch thursday sears limited linkedin
2034,2011-05-18 06:12:00,stocks to watch thursday linkedin citi sears
2053,2011-04-07 11:31:00,updates advisories and surprises
2066,2011-03-03 00:01:00,updates advisories and surprises
2074,2011-02-24 10:01:00,updates advisories and surprises
2082,2011-02-24 10:09:00,kohl’s target limited lead sector higher; sears down
2087,2011-02-03 07:01:00,updates advisories and surprises
2133,2010-11-18 05:31:00,updates advisories and surprises
2139,2010-11-17 05:54:00,stocks in focus gm dell sears staples
2171,2010-09-02 10:31:00,updates advisories and surprises
2179,2010-08-19 10:31:00,updates advisories and surprises
2242,2010-05-20 10:43:00,sears staples ross limited fall in downbeat sector
2331,2009-12-03 04:31:00,updates advisories and surprises
2348,2009-11-19 05:01:00,updates advisories and surprises
2354,2009-11-18 06:15:00,dell sears gamestop gap ross stores
2400,2009-08-20 05:31:00,updates advisories and surprises
2404,2009-08-20 00:59:00,retail stocks mixed; sears posts surprise loss
2440,2009-05-22 04:13:00,retail stocks edge higher; sears soars
2442,2009-05-21 06:49:00,sears gap campbell soup
2444,2009-05-21 05:01:00,updates advisories and surprises
2451,2009-05-16 00:42:00,fast retailing ceo fuels gap takeover talks
2452,2009-05-07 11:31:00,updates advisories and surprises
2471,2009-04-07 11:05:00,update gap ceo's realized compensation totaled $53 million
2479,2009-03-18 04:32:00,gap's ceo murphy to take salary cut of 15percent
2496,2009-02-26 06:01:00,updates advisories and surprises
2501,2009-02-26 10:19:00,sears holdings gains leading sector; limited skids
2516,2009-01-08 04:31:00,updates advisories and surprises
2517,2009-01-08 03:01:00,sears holdings jumps on strength of profit outlook
2539,2008-11-20 05:01:00,updates advisories and surprises
2580,2008-09-04 04:31:00,updates advisories and surprises
2596,2008-08-21 05:01:00,updates advisories and surprises
2619,2008-07-14 11:46:00,macy's ceo reassures retailer is 'financially healthy'
2631,2008-06-15 03:12:00,merrill's thain was highest-paid ceo in 2007 report
2632,2008-06-10 05:45:00,gap ceo announces plans to downsize stores
2633,2008-06-10 00:01:00,gap ceo announces plan to trim real estate footprint
2649,2008-05-22 05:01:00,updates advisories and surprises
2709,2008-02-07 05:31:00,updates advisories and surprises
2715,2008-01-14 11:27:00,sears is another casualty of holiday train wreck
2746,2007-10-11 11:31:00,updates advisories and surprises
2752,2007-09-26 02:47:00,children's place ceo steps down; shares jump
2764,2007-08-30 10:13:00,sears and wal-mart among retail decliners
2772,2007-08-24 04:27:00,gap's new ceo aims to slash bureaucracy in turnaround effort
2776,2007-08-23 07:32:00,new ceo will 'unleash' creativity at gap inc
2777,2007-08-23 05:01:00,updates advisories and surprises
2783,2007-08-09 06:31:00,updates advisories and surprises
2793,2007-07-27 00:22:00,gap picks murphy as chairman ceo
2797,2007-07-26 07:10:00,amgen rises after results; gap names new ceo
2798,2007-07-26 06:43:00,gap names murphy chairman ceo
2816,2007-05-24 06:01:00,updates advisories and surprises
2818,2007-05-18 04:58:00,gap investors want to know new ceo
2819,2007-05-10 06:31:00,updates advisories and surprises
2826,2007-05-04 06:22:00,sears' lampert ready to put money to work
2831,2007-04-26 06:22:00,gap ex-ceo's pay valued at $889 mln for past fiscal year
2836,2007-04-13 04:31:00,updates advisories and surprises
2837,2007-04-12 07:01:00,updates advisories and surprises
2845,2007-03-23 01:01:00,updates advisories and surprises
2859,2007-02-26 07:01:00,updates advisories and surprises
2876,2007-01-25 09:24:00,gap ceo tells employees company isn't for sale -report
2880,2007-01-23 11:14:00,ceo pressler's out at gap inc
2883,2007-01-22 07:31:00,ti shares rise after results; gap ceo resigns
2885,2007-01-22 05:28:00,ceo pressler is out at gap inc
2897,2007-01-04 06:01:00,updates advisories and surprises
2914,2006-12-06 10:38:00,worst ceo of 2006 goes to ilia lekach of parlux
