Unnamed: 0,Date,text_headlines
76,2021-11-24 06:41:00,gap stock plunges 209percent premarket toward a near 14-mo low after q3 results late tuesday
236,2021-05-28 09:56:00,old navy athleta lead gap to surprise profit
237,2021-05-28 07:44:00,gap surprises wall street with quarterly profit as activewear summer fashions carry the day
508,2020-11-15 10:31:00,jerome dodson titan of sustainable investing steps back at parnassus
517,2020-10-06 00:38:00,charting a bullish q4 start  s&p 500 extends rally from major support
518,2020-10-06 00:07:00,charting a bullish q4 start  s&p 500 extends rally from major support
536,2020-08-27 04:38:00,gap stock up 5percent after retailer reports narrower q2 loss strong online sales
574,2020-06-04 04:38:00,gap stock falls as retailer swings to q1 loss sales miss views
623,2020-03-12 04:33:00,gap tops q4 expectations says it's 'impossible' to estimate virus impact
665,2019-11-07 04:29:00,gap lowers eps guidance for 2019 calling q3 'challenging'
696,2019-08-22 04:32:00,gap stock falls after company's q2 same-store sales fall
725,2019-05-30 04:32:00,gap stock down 11percent after 'extremely challenging' q1
726,2019-05-30 04:18:00,gap q1 rev $37 billion vs expectations $38 billion
727,2019-05-30 04:18:00,gap q1 same-store sales down 4percent
728,2019-05-30 04:17:00,gap q1 adj eps 24 cents vs expectations 32 cents
729,2019-05-30 04:16:00,gap stock down 10percent after q1 results
780,2018-11-20 04:18:00,gap q3 net sales $41 billion vs expectations $4 billion
782,2018-11-20 04:16:00,gap q3 eps 69 cents vs expectations 67 cents
783,2018-11-20 04:16:00,gap stock down 3percent after q3 earnings
806,2018-08-23 04:18:00,gap q2 net sales $41 billion vs expectations $4 billion
808,2018-08-23 04:17:00,gap q2 eps 76 cents vs expectations 71 cents
823,2018-05-25 07:21:00,gap's stock falls 75percent premarket after q1 results late thursday
827,2018-05-24 04:19:00,gap q1 rev $378 billion vs expectations $361 billion
828,2018-05-24 04:17:00,gap q1 eps 42 cents vs expectations 44 cents
843,2018-03-01 04:33:00,gap stock jumps 8percent on better q4 sales 2018 outlook
844,2018-03-01 04:18:00,gap shares up 8percent after q4 sales beat
845,2018-03-01 04:17:00,gap q4 comparable-store sales up 5percent in q4
846,2018-03-01 04:17:00,gap q4 rev $48 billion vs expectations $47 billion
847,2018-03-01 04:16:00,gap q4 eps 52 cents vs expectations 58 cents
864,2017-12-13 05:21:00,inditex shares up even as profit margins shrink
915,2017-05-21 01:18:00,ann taylor parent ascena shares plummet after traffic decline prompts profit warning
918,2017-05-19 08:36:00,jim chanos has a way to profit on the drug overpricing backlash and still hates tesla
950,2017-02-23 04:20:00,gap inc sees fiscal 2017 eps in the range of $195-$205; factset consensus $200
951,2017-02-23 04:18:00,gap inc q4 same-store sales up 2percent
952,2017-02-23 04:18:00,gap's stock rallies 15percent in after-hours session after q4 results
953,2017-02-23 04:17:00,gap inc q4 revenue $443b vs $439b last year; factset consensus $441b
954,2017-02-23 04:17:00,gap inc q4 adj eps 51 cents; factset consensus 50 cents
955,2017-02-23 04:16:00,gap inc q4 eps 55 cents vs 53 cents last year
961,2017-02-06 05:29:00,gap sees better-than-expected holiday profit
1002,2016-11-18 07:36:00,abercrombie & fitch profit tumbles as it rebrands
1003,2016-11-17 07:00:00,gap profit drops as sales slump continues
1006,2016-11-17 04:22:00,gap expects 2016 sees adjusted eps in the range of $187 to $192; factset consensus $201
1007,2016-11-17 04:20:00,gap q3 same-store sales down 3percent; gap banana republic same-store sales decline 8percent old navy up 3percent
1008,2016-11-17 04:18:00,gap q3 revenue $380b vs $386b last year; factset consensus $380b
1009,2016-11-17 04:17:00,gap q3 adjusted eps 60 cents; factset consensus 60 cents
1010,2016-11-17 04:16:00,gap q3 eps 51 cents vs 61 cents last year
1015,2016-11-08 08:10:00,primark steps up us expansion
1036,2016-09-21 05:03:00,zara owner inditex's profit rises beats views
1037,2016-09-10 02:28:00,wave of profit and sales warnings puts spotlight on new risks companies face
1053,2016-08-18 04:18:00,gap inc fiscal q2 eps 31 cents adj 60 cents a share
1054,2016-08-18 04:16:00,gap inc fiscal q2 net sales $385 billion
1068,2016-08-08 04:20:00,gap sees q2 adj eps 58 cents to 59 cents; factset consensus 48 cents
1069,2016-08-08 04:19:00,gap sees q2 eps 30 cents to 31 cents
1070,2016-08-08 04:19:00,gap's stock drops 34percent premarket after july q2 sales results
1071,2016-08-08 04:18:00,gap q2 factset same-store sales consensus down 27percent
1074,2016-08-08 04:17:00,gap q2 sales $385 bln vs $390 bln a year ago
1101,2016-05-24 08:28:00,dsw profit falls slashes outlook on softer sales
1107,2016-05-20 08:09:00,gap's stock gains 07percent premarket after q1 results late thursday
1115,2016-05-13 02:59:00,bridgewater sold its entire gap stake of 466607 shares during q1
1116,2016-05-12 02:17:00,ralph lauren profit falls 77percent as sales slump
1128,2016-05-10 07:37:00,gap's stock tumbles 13percent premarket after q1 sales update late monday
1133,2016-04-30 10:14:00,looking for income these 23 dividend stocks provide it
1170,2016-02-08 04:23:00,gap inc expects fourth-quarter eps between 56 cents and 57 cents; narrows full-year eps to between $241-$242
1210,2015-11-20 07:46:00,abercrombie & fitch profit up on fewer discounts
1291,2015-06-15 04:04:00,gap keeps its 2015 eps outlook of $275 to $280 excluding store-closing costs
1307,2015-05-21 04:19:00,gap q1 profit sales drop; ceo vows to focus on 'greater product acceptance
1308,2015-05-21 04:05:00,gap keeps fiscal 2015 eps forecast of $275 to $280 vs factset consensus of $278
