Unnamed: 0,Date,text_headlines
3,2022-02-10 04:57:00,gap inc stock underperforms thursday when compared to competitors
6,2022-02-07 04:57:00,gap inc stock underperforms monday when compared to competitors
9,2022-02-02 04:57:00,gap inc stock underperforms wednesday when compared to competitors
10,2022-02-01 04:57:00,gap inc stock outperforms competitors on strong trading day
19,2022-01-21 04:57:00,gap inc stock underperforms friday when compared to competitors
21,2022-01-19 04:57:00,gap inc stock underperforms wednesday when compared to competitors
22,2022-01-18 04:57:00,gap inc stock underperforms tuesday when compared to competitors
30,2022-01-10 05:26:00,tjx cos stock underperforms monday when compared to competitors
31,2022-01-10 05:21:00,ross stores inc stock outperforms competitors despite losses on the day
32,2022-01-10 04:57:00,gap inc stock underperforms monday when compared to competitors
36,2022-01-06 04:57:00,gap inc stock outperforms competitors on strong trading day
38,2022-01-04 04:58:00,gap inc stock outperforms competitors on strong trading day
40,2022-01-03 04:57:00,gap inc stock outperforms competitors on strong trading day
43,2021-12-29 04:57:00,gap inc stock outperforms competitors on strong trading day
49,2021-12-20 04:57:00,gap inc stock underperforms monday when compared to competitors
51,2021-12-16 04:57:00,gap inc stock underperforms thursday when compared to competitors
54,2021-12-13 04:57:00,gap inc stock underperforms monday when compared to competitors
62,2021-11-30 04:56:00,gap inc stock underperforms tuesday when compared to competitors
65,2021-11-28 02:24:00,retailers get a strong start to the holiday shopping season
79,2021-11-23 04:56:00,gap inc stock underperforms tuesday when compared to competitors
82,2021-11-22 04:56:00,gap inc stock underperforms monday when compared to competitors
88,2021-11-15 04:56:00,gap inc stock underperforms monday when compared to competitors despite daily gains
90,2021-11-11 04:56:00,gap inc stock outperforms competitors on strong trading day
95,2021-11-03 04:57:00,gap inc stock outperforms competitors on strong trading day
98,2021-10-29 04:57:00,gap inc stock underperforms friday when compared to competitors
100,2021-10-28 04:57:00,gap inc stock outperforms competitors on strong trading day
102,2021-10-27 04:57:00,gap inc stock underperforms wednesday when compared to competitors
103,2021-10-26 04:57:00,gap inc stock underperforms tuesday when compared to competitors despite daily gains
104,2021-10-25 04:57:00,gap inc stock outperforms competitors despite losses on the day
105,2021-10-22 04:57:00,gap inc stock underperforms friday when compared to competitors
106,2021-10-21 04:57:00,gap inc stock underperforms thursday when compared to competitors
114,2021-10-11 04:57:00,gap inc stock underperforms monday when compared to competitors
115,2021-10-08 04:57:00,gap inc stock underperforms friday when compared to competitors
117,2021-10-06 04:57:00,gap inc stock outperforms competitors despite losses on the day
121,2021-10-01 04:57:00,gap inc stock outperforms competitors on strong trading day
123,2021-09-30 04:57:00,gap inc stock underperforms thursday when compared to competitors
124,2021-09-29 04:57:00,gap inc stock outperforms competitors on strong trading day
127,2021-09-27 04:57:00,gap inc stock outperforms competitors on strong trading day
128,2021-09-24 04:57:00,gap inc stock outperforms competitors despite losses on the day
132,2021-09-20 04:57:00,gap inc stock underperforms monday when compared to competitors
135,2021-09-15 04:57:00,gap inc stock outperforms competitors despite losses on the day
