Unnamed: 0,Date,text_headlines
1,2022-02-14 04:56:00,gap inc stock falls monday underperforms market
2,2022-02-11 04:56:00,gap inc stock falls friday underperforms market
3,2022-02-10 04:57:00,gap inc stock underperforms thursday when compared to competitors
4,2022-02-09 04:56:00,gap inc stock falls wednesday underperforms market
5,2022-02-08 04:56:00,gap inc stock outperforms market on strong trading day
6,2022-02-07 04:57:00,gap inc stock underperforms monday when compared to competitors
7,2022-02-04 04:57:00,gap inc stock falls friday underperforms market
8,2022-02-03 04:57:00,gap inc stock falls thursday underperforms market
9,2022-02-02 04:57:00,gap inc stock underperforms wednesday when compared to competitors
10,2022-02-01 04:57:00,gap inc stock outperforms competitors on strong trading day
11,2022-01-31 04:57:00,gap inc stock rises monday still underperforms market
12,2022-01-28 04:57:00,gap inc stock rises friday still underperforms market
13,2022-01-27 04:57:00,gap inc stock outperforms market despite losses on the day
16,2022-01-26 04:57:00,gap inc stock falls wednesday underperforms market
17,2022-01-25 04:57:00,gap inc stock rises tuesday outperforms market
18,2022-01-24 04:57:00,gap inc stock rises monday outperforms market
19,2022-01-21 04:57:00,gap inc stock underperforms friday when compared to competitors
20,2022-01-20 04:57:00,gap inc stock falls thursday underperforms market
21,2022-01-19 04:57:00,gap inc stock underperforms wednesday when compared to competitors
22,2022-01-18 04:57:00,gap inc stock underperforms tuesday when compared to competitors
26,2022-01-14 04:57:00,gap inc stock falls friday underperforms market
27,2022-01-13 04:57:00,gap inc stock rises thursday outperforms market
28,2022-01-12 04:57:00,gap inc stock falls wednesday underperforms market
29,2022-01-11 04:57:00,gap inc stock rises tuesday outperforms market
30,2022-01-10 05:26:00,tjx cos stock underperforms monday when compared to competitors
31,2022-01-10 05:21:00,ross stores inc stock outperforms competitors despite losses on the day
32,2022-01-10 04:57:00,gap inc stock underperforms monday when compared to competitors
34,2022-01-07 04:57:00,gap inc stock falls friday underperforms market
36,2022-01-06 04:57:00,gap inc stock outperforms competitors on strong trading day
37,2022-01-05 04:57:00,gap inc stock falls wednesday still outperforms market
