Unnamed: 0,Date,text_headlines
10,2022-02-14 06:37:00,nio stock falls after downbeat china auto sales data tesla shares also take a hit
18,2022-02-05 08:03:00,these us lawmakers rank as the biggest traders of hot stocks like apple tesla and gamestop
37,2022-02-08 04:32:00,tesla inc stock outperforms competitors on strong trading day
44,2022-02-07 04:32:00,tesla inc stock underperforms monday when compared to competitors
71,2022-02-02 04:32:00,tesla inc stock underperforms wednesday when compared to competitors
76,2022-02-01 04:32:00,tesla inc stock outperforms competitors despite losses on the day
80,2022-02-01 10:06:00,nio’s deliveries fell last month what that means for tesla
106,2022-01-28 04:28:00,the dow climbed apple stock soared—and what else happened in the stock market today
112,2022-01-27 04:32:00,tesla inc stock underperforms thursday when compared to competitors
113,2022-01-27 04:28:00,dow turns lower gdp tops expectations apple earnings ahead—and what else is happening in the stock market today
158,2022-01-24 04:00:00,ibm’s pension slashed stakes in apple microsoft and tesla it bought ge
176,2022-01-20 09:49:00,alibaba stock and jdcom are outperforming apple and tesla here’s why
181,2022-01-19 04:32:00,tesla inc stock underperforms wednesday when compared to competitors
189,2022-01-18 09:04:00,tech stocks are getting slammed yet again why apple microsoft tesla and 10 others can rise
208,2022-01-13 04:32:00,tesla inc stock underperforms thursday when compared to competitors
228,2022-01-10 05:11:00,nio inc adr falls monday underperforms market
231,2022-01-10 04:32:00,tesla inc stock outperforms competitors on strong trading day
261,2022-01-05 04:32:00,tesla inc stock underperforms wednesday when compared to competitors
269,2022-01-05 08:52:00,ignore tesla and apple stock for massive returns in tech says ubs look here instead
292,2022-01-03 04:07:00,apple comes up short of $3 trillion market cap
293,2022-01-03 03:02:00,apple becomes the first company worth $3 trillion
296,2022-01-03 10:19:00,chinese ev makers reported big delivery figures nio stock is surging the most
304,2022-01-03 08:31:00,nio's stock surges after reporting deliveries more than doubled in 2021
322,2021-12-31 07:31:00,nio's stock pulls back after soaring about 15percent the previous session
335,2021-12-29 04:32:00,tesla inc stock outperforms competitors despite losses on the day
370,2021-12-23 04:32:00,tesla inc stock outperforms competitors on strong trading day
398,2021-12-20 04:32:00,tesla inc stock underperforms monday when compared to competitors
400,2021-12-20 00:00:00,nio stock is cratering because manchin’s latest move means more than a new model
405,2021-12-18 09:59:00,after a dazzling 2021 apple and tesla stocks are expected to be duds in 2022
408,2021-12-17 04:32:00,tesla inc stock outperforms competitors on strong trading day
417,2021-12-16 04:32:00,tesla inc stock underperforms thursday when compared to competitors
420,2021-12-15 05:39:00,tesla nio and other ev stocks were saved by the fed
449,2021-12-13 04:32:00,tesla inc stock underperforms monday when compared to competitors
453,2021-12-12 00:31:00,apple could be the first $3 trillion company why its rally won’t stop there
470,2021-12-09 04:32:00,tesla inc stock underperforms thursday when compared to competitors
486,2021-12-07 09:27:00,tesla inc stock outperforms competitors on strong trading day
518,2019-12-30 00:54:00,nio stock is flying on upbeat results it’s still way down for 2019
523,2021-12-03 04:32:00,tesla inc stock underperforms friday when compared to competitors
524,2021-12-03 04:30:00,nio and its ev peers take hit on delisting concerns even tesla is impacted
558,2019-06-12 05:15:00,the bull case and the bear case on apple stock
575,2021-11-23 04:32:00,tesla inc stock underperforms tuesday when compared to competitors
601,2021-11-19 04:32:00,tesla inc stock outperforms competitors on strong trading day
608,2021-11-18 05:44:00,the apple car is back in the news it’s still a stretch
609,2021-11-18 04:32:00,tesla inc stock outperforms competitors on strong trading day
611,2021-11-18 02:38:00,apple reportedly revving up electric-vehicle plans — ‘a matter of when not if’
631,2021-11-16 04:32:00,tesla inc stock outperforms competitors on strong trading day
646,2021-11-15 04:32:00,tesla inc stock underperforms monday when compared to competitors
665,2021-11-12 04:32:00,tesla inc stock underperforms friday when compared to competitors
686,2021-11-10 04:32:00,tesla inc stock outperforms competitors on strong trading day
688,2021-11-10 11:01:00,nio’s earnings were fine but not guidance its stock is ok what a surprise
691,2021-11-10 08:30:00,rivian ipo set to boost backers including ford amazon and more
696,2021-11-09 10:48:00,rivian ipo 5 things to know about the amazon-backed electric-vehicle maker
700,2021-11-09 04:32:00,tesla inc stock underperforms tuesday when compared to competitors
715,2021-11-08 04:32:00,tesla inc stock underperforms monday when compared to competitors
748,2021-11-02 04:32:00,tesla inc stock underperforms tuesday when compared to competitors
