Unnamed: 0,Date,text_headlines
0,2022-02-15 10:00:00,ethereum leads way as largest cryptocurrencies post advances
3,2022-02-15 05:05:00,biden to tap infrastructure funds to clean up vital steel aluminum and concrete sectors
6,2022-02-14 04:32:00,tesla inc stock rises monday outperforms market
7,2022-02-14 10:01:00,largest cryptocurrencies mixed as dogecoin falls
12,2022-02-11 04:46:00,these 3 funds invest like ark but didn’t fall as far
13,2022-02-11 04:32:00,tesla inc stock falls friday underperforms market
16,2022-02-11 10:00:00,most large cryptocurrencies decline as litecoin declines
20,2022-02-10 04:32:00,tesla inc stock falls thursday underperforms market
22,2022-02-10 02:37:00,bitcoin starts clawing back from 3-month downtrend but may not be out of the woods yet analysts say
24,2022-02-10 10:01:00,most big cryptocurrencies decrease as uniswap tumbles
28,2022-02-09 04:32:00,tesla inc stock rises wednesday still underperforms market
30,2022-02-09 10:00:00,most large cryptocurrencies increase as ripple  rallies
41,2022-02-08 10:00:00,most large cryptocurrencies decrease as dogecoin declines
43,2022-02-07 04:55:00,crypto is volatile but kpmg canada just added bitcoin and ether to its balance sheet here’s why
45,2022-02-07 01:55:00,tesla receives another sec subpoena for musk’s ‘funding secured’ tweet
46,2022-02-07 10:01:00,ripple leads way as largest cryptocurrencies post gains
47,2022-02-07 09:34:00,tesla made money trading bitcoin last year
48,2022-02-07 09:22:00,tesla discloses sec subpoena to see if it is complying with settlement of previous investigation
50,2022-02-07 08:45:00,cathie wood is sticking to ark’s supergrowth stocks—and avoiding the faangs
51,2022-02-07 08:32:00,tesla's bitcoin holding valued at nearly $2 billion at end of 2021
55,2022-02-05 09:33:00,tax season does the irs know if you trade crypto is your nft sale or mining income taxable
56,2022-02-02 04:30:00,4 lessons from ark’s rapid rise—and fall
57,2019-10-08 10:18:00,china’s auto market could ‘bottom out’ this year analyst says
58,2018-11-26 05:01:00,elon musk said tesla almost died — and the stock market shrugged
60,2022-02-04 04:32:00,tesla inc stock rises friday outperforms market
63,2022-02-04 10:00:00,largest cryptocurrencies climb on ethereum litecoin increases
64,2022-02-03 04:32:00,tesla inc stock outperforms market despite losses on the day
66,2022-02-03 00:00:00,tesla stock shrugs off second over-the-air recall for auto maker this week
68,2022-02-03 10:01:00,most large cryptocurrencies decline as polkadot declines
73,2022-02-02 10:01:00,uniswap leads way as most big cryptocurrencies post decreases
81,2022-02-01 10:01:00,most big cryptocurrencies increase as ethereum  climbs
84,2022-02-01 06:53:00,tesla shares down 08percent premarket
89,2022-01-31 04:32:00,tesla inc stock rises monday outperforms market
93,2022-01-31 10:01:00,bitcoin cash leads declines as largest cryptocurrencies start mixed
94,2022-01-31 09:43:00,this ark holding and pandemic star is down 77percent from its peak — why one hedge fund is starting to buy it
102,2022-01-30 07:32:00,why the stock market could take a turn for the worse
103,2022-01-29 02:28:00,crypto crash what it means for your digital asset portfolio
105,2022-01-28 04:32:00,tesla inc stock rises friday still underperforms market
106,2022-01-28 04:28:00,the dow climbed apple stock soared—and what else happened in the stock market today
107,2022-01-28 01:23:00,tesla stock sinks and cathie wood’s ark gets back to buying
108,2022-01-28 11:05:00,warren buffett leapfrogs mark zuckerberg as tech slump shakes up world’s richest list
110,2022-01-28 10:01:00,largest cryptocurrencies mixed as cardano drops
113,2022-01-27 04:28:00,dow turns lower gdp tops expectations apple earnings ahead—and what else is happening in the stock market today
121,2022-01-27 10:01:00,polkadot leads way as largest cryptocurrencies post increases
123,2022-01-27 08:29:00,cash pours into anti-ark etf as cathie wood struggles
128,2022-01-27 06:34:00,the fed’s ‘nimble’ approach signals a wild ride ahead
129,2022-01-27 06:17:00,tesla stock falls 12percent premarket after q4 results late wednesday
134,2022-01-26 04:32:00,tesla inc stock rises wednesday outperforms market
