Unnamed: 0,Date,text_headlines
4,2022-02-14 09:33:00,flurry of ev commercials during super bowl led to huge jump in searches for this particular suv (hint even electric puppies sell)
25,2022-02-10 09:36:00,biden tells states to roll ahead with electric-vehicle charging network — plans for a station every 50 miles
35,2022-02-08 06:14:00,tesla finally gets a mention as biden talks up electric vehicles
75,2022-02-02 08:48:00,alphabet stock split could permit tech giant to join dow industrials
92,2022-01-31 10:26:00,tech stocks could sink 8percent more ubs says here’s why—and where to buy the dip
101,2022-01-31 05:00:00,with more choices available electric vehicles sales are booming
108,2022-01-28 11:05:00,warren buffett leapfrogs mark zuckerberg as tech slump shakes up world’s richest list
118,2017-05-05 05:15:00,facebook tesla realize technology can’t solve everything
155,2022-01-24 08:02:00,maneuvering the 2022 tech wreck
156,2022-01-24 08:01:00,tech stocks need some good news microsoft earnings could bring it
179,2018-10-05 10:53:00,elon musk is still tweeting and 4 other things for tech investors to start the day
189,2022-01-18 09:04:00,tech stocks are getting slammed yet again why apple microsoft tesla and 10 others can rise
200,2022-01-14 00:28:00,ford’s china sales grew a little the future however is all electric
232,2022-01-10 11:02:00,gm and ford are tech companies now just look at the stocks
240,2022-01-09 07:52:00,proterra stock sank in the spac selloff now the electric bus maker looks like a bargain
245,2022-01-08 01:28:00,weekend reads when tech stocks fade where do you go
260,2022-01-06 08:48:00,cars are the new phones as electric vehicles invade ces
264,2022-01-05 01:37:00,gm’s electric chevy silverado is here it’s well acceptable
269,2022-01-05 08:52:00,ignore tesla and apple stock for massive returns in tech says ubs look here instead
270,2022-01-05 08:44:00,chrysler takes aim at tesla the auto maker plans to go all-electric by 2028
276,2022-01-04 05:03:00,tech stocks got crushed why the dow is on fire
277,2022-01-04 04:32:00,the dow closed at a new high tech tumbled—and what else happened in the stock market today
305,2022-01-03 08:23:00,defying covid ces tech trade show opens this week in las vegas
342,2021-12-29 09:10:00,tech megacaps had a big 2021 what’s ahead for 2022
343,2021-12-29 08:34:00,this fund driven by artificial intelligence is ditching big tech here’s what it’s doing instead
429,2021-12-14 04:36:00,nasdaq just wants to forget today inflation hammers tech stocks again
438,2021-10-14 02:32:00,more electric pickup trucks are coming to market the question now is who will buy them
439,2021-08-14 11:15:00,chasing tesla here are the current electric vehicle plans of every major car maker
457,2021-12-11 10:04:00,why bitcoin may face another 20percent plunge in coming weeks as ‘risk is heightened’ says prominent  technical analyst ‘we’re watching $37000’
