Unnamed: 0,Date,text_headlines
4,2022-01-11 08:10:00,urban outfitters says q4 margins hurt by higher-than-expected transportation costs
6,2021-11-23 07:28:00,urban outfitters stock plummets after earnings show in-store sales declining
20,2021-05-27 08:25:00,urban outfitters soars after fewer promotions drive record earnings
21,2021-05-26 09:48:00,                                                                                                        urban outfitters earnings were so good they changed one critic’s mind
25,2021-04-12 08:35:00,urban outfitters says sales have grown for the first quarter to date
27,2021-03-02 04:34:00,urban outfitters' holiday earnings increase
33,2021-01-04 08:27:00,urban outfitters price target lowered to $26 from $27 at jp morgan
37,2020-11-25 09:10:00,                                                                                                        gap’s earnings cost it a bull the stock is sinking
39,2020-11-23 05:12:00,                                                                                                        urban outfitters stock climbs as earnings reach record despite covid-19
40,2020-11-23 04:27:00,urban outfitters cuts costs to boost earnings
47,2020-09-03 01:12:00,                                                                                                        2 stocks that happily surprised morgan stanley this earnings season
48,2020-08-27 09:08:00,urban outfitters shares soar after full-price sales drive better-than-expected earnings
50,2020-08-26 10:25:00,                                                                                                        urban outfitters stock is soaring on a surprise profit and two upgrades
51,2020-08-26 08:38:00,stocks will head higher until there’s a reason besides covid-19 to stop one analyst says
52,2020-08-25 07:37:00,                                                                                                        urban outfitters stock rises on unexpected quarterly profit
53,2020-08-25 04:57:00,urban outfitters stock soars 12percent as retailer swings to surprise q2 profit
54,2020-07-20 01:57:00,                                                                                                        the dow treads water as investors await earnings amazon jumps after upgrade
78,2020-03-11 08:03:00,urban outfitters says coronavirus uncertainty means it cannot offer guidance for q1
80,2020-03-04 04:30:00,dow s&p finish 4percent higher as wall street warms to surprise fed rate cuts biden campaign momentum
82,2020-03-04 11:21:00,                                                                                                        urban outfitters stock is sinking after charges hit quarterly results
84,2020-03-03 04:31:00,urban outfitters stock down 5percent after q4 profit miss
96,2019-11-19 05:06:00,                                                                                                        urban outfitters stock is sinking the latest casualty of a weak quarter for retail
97,2019-11-19 04:30:00,urban outfitters stock tanks after q3 profit sales misses
98,2019-11-19 04:24:00,urban outfitters stock down 9percent after q3 results
100,2019-10-23 11:40:00,premium                                                                                                        charting a grinding-higher uptrend s&p 500 sustains october gains
109,2019-08-20 04:15:00,urban outfitters stock higher after mixed q2 results
122,2019-05-21 04:24:00,urban outfitters stock wobbles after earnings beat
123,2019-05-20 07:30:00,                                                                                                        urban outfitters reports earnings tomorrow here’s what to expect
140,2019-03-05 04:43:00,urban outfitters posts strong quarterly earnings
141,2019-03-05 04:15:00,breaking                                                                                                        urban outfitters stock rises after earnings beat
158,2018-11-19 04:30:00,urban outfitters stock rallies on company's above-expectation quarterly results
165,2018-09-06 08:16:00,urban outfitters says sales up 10percent in q3 as of sept 3
166,2018-08-25 09:06:00,retailers are hot again — here are the earnings and sales winners
169,2018-08-22 02:45:00,this is why urban outfitters shares are down despite beating earnings expectations
172,2018-08-21 05:29:00,urban outfitters stock gains after company earnings sales growth
173,2018-08-20 11:21:00,                                                                                                        urban outfitters earnings a bull sees second-half ‘strength’
