Unnamed: 0,Date,text_headlines
5,2022-01-11 08:09:00,urban outfitters says sales rose 146percent in two months to end dec vs same period in 2019
6,2021-11-23 07:28:00,urban outfitters stock plummets after earnings show in-store sales declining
7,2021-11-16 07:58:00,urban outfitters upgraded to buy from neutral at b riley
20,2021-05-27 08:25:00,urban outfitters soars after fewer promotions drive record earnings
21,2021-05-26 09:48:00,                                                                                                        urban outfitters earnings were so good they changed one critic’s mind
25,2021-04-12 08:35:00,urban outfitters says sales have grown for the first quarter to date
27,2021-03-02 04:34:00,urban outfitters' holiday earnings increase
29,2021-01-14 10:46:00,                                                                                                        urban outfitters stock is slipping weak holiday sales might only be the start
31,2021-01-13 09:53:00,                                                                                                        weak holiday sales weigh on urban outfitters stock
32,2021-01-12 04:54:00,urban outfitters stock drops as sales decline group ceo departure announced
36,2020-12-01 00:05:00,                                                                                                        cyber monday sales set a record but it wasn’t the blowout anticipated
37,2020-11-25 09:10:00,                                                                                                        gap’s earnings cost it a bull the stock is sinking
39,2020-11-23 05:12:00,                                                                                                        urban outfitters stock climbs as earnings reach record despite covid-19
40,2020-11-23 04:27:00,urban outfitters cuts costs to boost earnings
45,2020-10-09 10:47:00,                                                                                                        there are fewer sales at the mall that’s good for gap american eagle and other clothing retailers
47,2020-09-03 01:12:00,                                                                                                        2 stocks that happily surprised morgan stanley this earnings season
48,2020-08-27 09:08:00,urban outfitters shares soar after full-price sales drive better-than-expected earnings
50,2020-08-26 10:25:00,                                                                                                        urban outfitters stock is soaring on a surprise profit and two upgrades
52,2020-08-25 07:37:00,                                                                                                        urban outfitters stock rises on unexpected quarterly profit
53,2020-08-25 04:57:00,urban outfitters stock soars 12percent as retailer swings to surprise q2 profit
54,2020-07-20 01:57:00,                                                                                                        the dow treads water as investors await earnings amazon jumps after upgrade
60,2020-05-20 10:01:00,                                                                                                        urban outfitters stock is tumbling because online sales came up short
61,2020-05-19 04:51:00,urban outfitters stock falls as preliminary results miss
77,2020-03-11 08:39:00,urban outfitters sales fall in coronavirus-impacted cities including milan and seattle
80,2020-03-04 04:30:00,dow s&p finish 4percent higher as wall street warms to surprise fed rate cuts biden campaign momentum
86,2020-01-15 03:10:00,lululemon bucks the weak holiday sales trend and raises guidance
89,2020-01-09 05:24:00,urban outfitters stock down 9percent after holiday sales report
97,2019-11-19 04:30:00,urban outfitters stock tanks after q3 profit sales misses
101,2019-09-30 00:47:00,                                                                                                        buy urban outfitters stock because it has ‘regained momentum’
106,2019-08-21 09:35:00,                                                                                                        urban outfitters stock is edging up despite downbeat sales figures
113,2019-08-15 08:10:00,urban outfitters downgraded to neutral from buy at b riley fbr
115,2019-08-05 07:15:00,crocs lauds the fashionable names selling its clogs but analysts question if trend will hold
122,2019-05-21 04:24:00,urban outfitters stock wobbles after earnings beat
123,2019-05-20 07:30:00,                                                                                                        urban outfitters reports earnings tomorrow here’s what to expect
126,2019-04-23 00:49:00,                                                                                                        urban outfitters stock could tumble because sales data is ‘nose diving’ analyst warns
129,2019-04-16 08:19:00,mastercard taps into buy-now pay-later trend with acquisition of vyze
133,2019-04-03 10:14:00,urban outfitters shares rise after upgrade on 'forest of opportunity' ahead
134,2019-04-03 09:52:00,urban outfitters shares rise 4percent in wednesday trading
135,2019-04-03 09:51:00,urban outfitters upgraded to buy from neutral at da davidson price target bumped to $36 from $30
140,2019-03-05 04:43:00,urban outfitters posts strong quarterly earnings
141,2019-03-05 04:15:00,breaking                                                                                                        urban outfitters stock rises after earnings beat
144,2019-02-07 04:43:00,urban outfitters shares slide on weaker-than-expected same-store sales
153,2018-11-27 06:55:00,cyber monday sales expected to hit $16 billion in the ‘golden hours’ before bedtime
161,2018-10-02 09:40:00,urban outfitters upgraded to buy from neutral at b riley
165,2018-09-06 08:16:00,urban outfitters says sales up 10percent in q3 as of sept 3
166,2018-08-25 09:06:00,retailers are hot again — here are the earnings and sales winners
169,2018-08-22 02:45:00,this is why urban outfitters shares are down despite beating earnings expectations
172,2018-08-21 05:29:00,urban outfitters stock gains after company earnings sales growth
