Unnamed: 0,Date,text_headlines
0,2022-04-01 02:29:00,                                                                                                        2 retail stocks to avoid amid inflation uncertainty according to barclays
2,2022-01-11 08:28:00,urban outfitters shares slip as free people promotions and transportation costs hurt results
6,2021-11-23 07:28:00,urban outfitters stock plummets after earnings show in-store sales declining
8,2021-09-13 08:49:00,urban outfitters stock price target cut to $38 from $44 at jp morgan
9,2021-08-25 08:36:00,this china skeptic concedes tech stocks are cheap as chips but warns against holding for the long term
11,2021-08-13 07:22:00,                                                                                                        stocks that need a strong economy to do well are looking good again here’s why
24,2021-04-13 08:17:00,urban outfitters stock price target raised to $36 from $30 at b riley
28,2021-02-01 01:46:00,                                                                                                        retailers cut debt and dividends the trend might not last
33,2021-01-04 08:27:00,urban outfitters price target lowered to $26 from $27 at jp morgan
34,2020-12-24 11:59:00,                                                                                                        here are the five worst retail stocks of 2020
35,2020-12-17 07:18:00,                                                                                                        there’s a week left until christmas these stocks could be the holiday shipping winners
38,2020-11-24 07:23:00,urban outfitters stock price target raised to $30 from $24 at wedbush
40,2020-11-23 04:27:00,urban outfitters cuts costs to boost earnings
41,2020-11-23 07:24:00,urban outfitters stock price target raised to $27 from $19 at jp morgan
42,2020-11-17 00:00:00,                                                                                                        three retailer stocks that can win with a vaccine and one to skip
43,2020-11-17 08:20:00,nordstrom macy’s stocks soar after positive vaccine news sparks investor hope for in-store shopping
44,2020-11-13 00:02:00,premium                                                                                                        charting a bull flag  s&p 500 dow industrials sustain november breakouts
47,2020-09-03 01:12:00,                                                                                                        2 stocks that happily surprised morgan stanley this earnings season
48,2020-08-27 09:08:00,urban outfitters shares soar after full-price sales drive better-than-expected earnings
50,2020-08-26 10:25:00,                                                                                                        urban outfitters stock is soaring on a surprise profit and two upgrades
51,2020-08-26 08:38:00,stocks will head higher until there’s a reason besides covid-19 to stop one analyst says
52,2020-08-25 07:37:00,                                                                                                        urban outfitters stock rises on unexpected quarterly profit
53,2020-08-25 04:57:00,urban outfitters stock soars 12percent as retailer swings to surprise q2 profit
57,2020-06-12 10:54:00,                                                                                                        7 specialty retail stocks that could weather a second wave of closures
62,2020-05-13 06:50:00,urban outfitters stock price target cut to $16 from $22 at deutsche bank
67,2020-03-31 09:14:00,urban outfitters to cut senior leadership pay
70,2020-03-31 09:12:00,urban outfitters to cancel or delay orders and ask for price concessions
74,2020-03-23 08:26:00,urban outfitters stock price target cut to $18 from $25 at jp morgan
80,2020-03-04 04:30:00,dow s&p finish 4percent higher as wall street warms to surprise fed rate cuts biden campaign momentum
81,2020-03-04 02:43:00,                                                                                                        retail stocks are having a bad day coronavirus is just the newest problem
83,2020-03-04 10:38:00,urban outfitters shares sink after markdowns weigh on results coronavirus could cause delays
85,2020-02-04 09:07:00,urban outfitters started at market perform with $26 stock price target at bmo capital
87,2020-01-10 07:22:00,urban outfitters stock price target cut to $25 from $28 at wedbush
88,2020-01-10 07:05:00,urban outfitters stock price target cut to $25 from $26 at deutsche bank
90,2020-01-07 02:23:00,under armour shares sink after jpmorgan forecasts a ‘full-price hangover’ that will drag down revenue
93,2019-11-20 08:56:00,urban outfitters stock fair value estimate cut to $24 from $25 at mkm partners
94,2019-11-20 08:42:00,urban outfitters stock price target cut to $25 from $28 at jp morgan
95,2019-11-20 08:36:00,urban outfitters stock price target cut to $28 from $33 at wedbush
99,2019-11-12 08:18:00,urban outfitters stock price target raised to $33 from $20 at wedbush
100,2019-10-23 11:40:00,premium                                                                                                        charting a grinding-higher uptrend s&p 500 sustains october gains
102,2019-09-30 08:46:00,urban outfitters stock price target raised to $30 from $25 at wells fargo
105,2019-08-28 11:40:00,premium                                                                                                        s&p 500 nails gap resistance (2898) small-caps reverse sharply from support
107,2019-08-21 08:48:00,urban outfitters stock fair value estimate cut to $25 from $28 at mkm partners
108,2019-08-21 07:25:00,urban outfitters stock price target cut to $20 from $26 at wedbush
112,2019-08-15 08:11:00,urban outfitters stock price target cut to $23 from $38 at b riley fbr
114,2019-08-05 00:39:00,                                                                                                        the trade war could hurt gap and foot locker stocks analyst stays
117,2019-05-22 04:42:00,urban outfitters shares slump as fashion misses cause uncertainty
118,2019-05-22 01:12:00,                                                                                                        nordstrom is just one of the stocks signaling trouble for apparel retailers
119,2019-05-22 09:41:00,urban outfitters stock price target cut to $33 from $37 at bofa merrill
120,2019-05-22 08:29:00,urban outfitters stock price target cut to $28 from $31 at mkm partners
121,2019-05-22 08:20:00,urban outfitters stock price target cut to $28 from $32 at instinet
124,2019-05-17 07:35:00,urban outfitters stock price target cut to $26 from $28 at wedbush
127,2019-04-23 08:20:00,urban outfitters stock price target cut to $28 from $35 at wedbush
131,2019-04-05 08:07:00,urban outfitters stock on track for 10th-straight gain after wedbush lifts price target
132,2019-04-05 07:13:00,urban outfitters stock price raised to $35 from $30 at wedbush
133,2019-04-03 10:14:00,urban outfitters shares rise after upgrade on 'forest of opportunity' ahead
134,2019-04-03 09:52:00,urban outfitters shares rise 4percent in wednesday trading
135,2019-04-03 09:51:00,urban outfitters upgraded to buy from neutral at da davidson price target bumped to $36 from $30
138,2019-03-06 09:28:00,urban outfitters stock price target cut to $32 from $35 at instinet
139,2019-03-06 08:12:00,urban outfitters stock fair value estimate cut to $31 from $38 at mkm partners
141,2019-03-05 04:15:00,breaking                                                                                                        urban outfitters stock rises after earnings beat
142,2019-02-22 07:40:00,urban outfitters stock price target cut to $31 from $34 at jp morgan
143,2019-02-08 08:23:00,urban outfitters stock price target cut to $34 from $36 at jp morgan
144,2019-02-07 04:43:00,urban outfitters shares slide on weaker-than-expected same-store sales
145,2019-01-15 01:27:00,you’re paying too much for small stocks
