,Date,text_headlines
0,2022-04-01 02:29:00,                                                                                                        2 retail stocks to avoid amid inflation uncertainty according to barclays
1,2022-02-15 00:53:00,                                                                                                        gap stock gets a downgrade 2 big issues worry the analyst
2,2022-01-11 08:28:00,urban outfitters shares slip as free people promotions and transportation costs hurt results
3,2022-01-11 08:10:00,urban outfitters stock slides 39percent premarket
4,2022-01-11 08:10:00,urban outfitters says q4 margins hurt by higher-than-expected transportation costs
5,2022-01-11 08:09:00,urban outfitters says sales rose 146percent in two months to end dec vs same period in 2019
6,2021-11-23 07:28:00,urban outfitters stock plummets after earnings show in-store sales declining
7,2021-11-16 07:58:00,urban outfitters upgraded to buy from neutral at b riley
8,2021-09-13 08:49:00,urban outfitters stock price target cut to $38 from $44 at jp morgan
9,2021-08-25 08:36:00,this china skeptic concedes tech stocks are cheap as chips but warns against holding for the long term
10,2021-08-24 01:22:00,urban outfitters is taking on poshmark with its own ‘nuuly thrift’ app
11,2021-08-13 07:22:00,                                                                                                        stocks that need a strong economy to do well are looking good again here’s why
12,2019-09-21 10:30:00,                                                                                                        madewell is planning an ipo here’s what investors need to know
13,2018-08-22 04:35:00,                                                                                                        urban outfitters self checkout is ‘exceeding expectations’
14,2018-07-12 11:42:00,                                                                                                        trade war this retailer could be caught in the crossfire
15,2017-04-04 00:31:00,                                                                                                        can things get worse for urban outfitters apparently yes
16,2017-03-08 01:10:00,                                                                                                        urban outfitters is facing a painful transition
17,2017-02-27 03:44:00,                                                                                                        anthropologie struggles to understand its people
18,2016-11-22 00:59:00,                                                                                                        urban outfitters thrives as abercrombie fades
19,2016-11-11 05:06:00,                                                                                                        the comeback of urban outfitters
20,2021-05-27 08:25:00,urban outfitters soars after fewer promotions drive record earnings
21,2021-05-26 09:48:00,                                                                                                        urban outfitters earnings were so good they changed one critic’s mind
22,2021-05-26 07:04:00,urban outfitters upgraded to neutral from underweight at jp morgan
23,2021-05-24 08:11:00,bracing for a rollercoaster summer
24,2021-04-13 08:17:00,urban outfitters stock price target raised to $36 from $30 at b riley
25,2021-04-12 08:35:00,urban outfitters says sales have grown for the first quarter to date
26,2021-04-06 07:21:00,signet acquires jewelry rental service rocksbox
27,2021-03-02 04:34:00,urban outfitters' holiday earnings increase
28,2021-02-01 01:46:00,                                                                                                        retailers cut debt and dividends the trend might not last
29,2021-01-14 10:46:00,                                                                                                        urban outfitters stock is slipping weak holiday sales might only be the start
30,2021-01-14 07:57:00,urban outfitters upgraded to neutral from underweight at jp morgan
31,2021-01-13 09:53:00,                                                                                                        weak holiday sales weigh on urban outfitters stock
32,2021-01-12 04:54:00,urban outfitters stock drops as sales decline group ceo departure announced
33,2021-01-04 08:27:00,urban outfitters price target lowered to $26 from $27 at jp morgan
34,2020-12-24 11:59:00,                                                                                                        here are the five worst retail stocks of 2020
35,2020-12-17 07:18:00,                                                                                                        there’s a week left until christmas these stocks could be the holiday shipping winners
36,2020-12-01 00:05:00,                                                                                                        cyber monday sales set a record but it wasn’t the blowout anticipated
37,2020-11-25 09:10:00,                                                                                                        gap’s earnings cost it a bull the stock is sinking
38,2020-11-24 07:23:00,urban outfitters stock price target raised to $30 from $24 at wedbush
39,2020-11-23 05:12:00,                                                                                                        urban outfitters stock climbs as earnings reach record despite covid-19
40,2020-11-23 04:27:00,urban outfitters cuts costs to boost earnings
41,2020-11-23 07:24:00,urban outfitters stock price target raised to $27 from $19 at jp morgan
42,2020-11-17 00:00:00,                                                                                                        three retailer stocks that can win with a vaccine and one to skip
43,2020-11-17 08:20:00,nordstrom macy’s stocks soar after positive vaccine news sparks investor hope for in-store shopping
44,2020-11-13 00:02:00,premium                                                                                                        charting a bull flag  s&p 500 dow industrials sustain november breakouts
45,2020-10-09 10:47:00,                                                                                                        there are fewer sales at the mall that’s good for gap american eagle and other clothing retailers
46,2020-09-22 10:50:00,                                                                                                        tjx and urban outfitters stock have double-digit upside here’s why
47,2020-09-03 01:12:00,                                                                                                        2 stocks that happily surprised morgan stanley this earnings season
48,2020-08-27 09:08:00,urban outfitters shares soar after full-price sales drive better-than-expected earnings
49,2020-08-26 02:56:00,coronavirus update health experts express alarm at cdc change in testing guidelines that exclude asymptomatic patients
50,2020-08-26 10:25:00,                                                                                                        urban outfitters stock is soaring on a surprise profit and two upgrades
51,2020-08-26 08:38:00,stocks will head higher until there’s a reason besides covid-19 to stop one analyst says
52,2020-08-25 07:37:00,                                                                                                        urban outfitters stock rises on unexpected quarterly profit
53,2020-08-25 04:57:00,urban outfitters stock soars 12percent as retailer swings to surprise q2 profit
54,2020-07-20 01:57:00,                                                                                                        the dow treads water as investors await earnings amazon jumps after upgrade
55,2020-07-20 00:08:00,                                                                                                        sell urban outfitters stock analyst says ‘the new normal is a new nasty’
56,2020-06-18 08:15:00,inside england’s retail revival here’s how shops looked the day after lockdown eased
57,2020-06-12 10:54:00,                                                                                                        7 specialty retail stocks that could weather a second wave of closures
58,2020-06-11 07:00:00,                                                                                                        the pandemic is forcing retailers to do what they should have done long ago
59,2020-05-21 07:23:00,coronavirus update global case tally at 49 million as trump considers travel ban on brazil after big jump in death toll
60,2020-05-20 10:01:00,                                                                                                        urban outfitters stock is tumbling because online sales came up short
61,2020-05-19 04:51:00,urban outfitters stock falls as preliminary results miss
62,2020-05-13 06:50:00,urban outfitters stock price target cut to $16 from $22 at deutsche bank
63,2020-04-07 04:29:00,retailers lost 46200 jobs in march but could lose millions by may
64,2020-03-31 03:21:00,coronavirus update 826222 cases 40708 deaths and white house expected to release models showing trajectory of illness
65,2020-03-31 10:40:00,urban outfitters to furlough a 'substantial' number of employees suspends rent payment
66,2020-03-31 09:15:00,urban outfitters to suspend stock repurchases 'for the foreseeable future'
67,2020-03-31 09:14:00,urban outfitters to cut senior leadership pay
68,2020-03-31 09:13:00,urban outfitters to keep stores closed until further notice citing spread of covid-19
69,2020-03-31 09:12:00,urban outfitters to suspend payment of rent delay or cancel some planned new store openings
70,2020-03-31 09:12:00,urban outfitters to cancel or delay orders and ask for price concessions
71,2020-03-31 09:11:00,urban outfitters to suspend hiring eliminate bonuses and delay merit raises
72,2020-03-31 09:10:00,urban outfitters says furloughs are first in co's 50-year history
73,2020-03-31 09:10:00,urban outfitters to furlough 'substantial number' of employees for 60 days
74,2020-03-23 08:26:00,urban outfitters stock price target cut to $18 from $25 at jp morgan
75,2020-03-22 10:15:00,what apple microsoft ge and other us companies are saying about the coronavirus outbreak
76,2020-03-11 03:27:00,coronavirus update 124578 cases 4584 deaths; who declares pandemic
77,2020-03-11 08:39:00,urban outfitters sales fall in coronavirus-impacted cities including milan and seattle
78,2020-03-11 08:03:00,urban outfitters says coronavirus uncertainty means it cannot offer guidance for q1
79,2020-03-11 08:02:00,urban outfitters said it has seen decline in store traffic in milan and seattle in last week
80,2020-03-04 04:30:00,dow s&p finish 4percent higher as wall street warms to surprise fed rate cuts biden campaign momentum
81,2020-03-04 02:43:00,                                                                                                        retail stocks are having a bad day coronavirus is just the newest problem
82,2020-03-04 11:21:00,                                                                                                        urban outfitters stock is sinking after charges hit quarterly results
83,2020-03-04 10:38:00,urban outfitters shares sink after markdowns weigh on results coronavirus could cause delays
84,2020-03-03 04:31:00,urban outfitters stock down 5percent after q4 profit miss
85,2020-02-04 09:07:00,urban outfitters started at market perform with $26 stock price target at bmo capital
86,2020-01-15 03:10:00,lululemon bucks the weak holiday sales trend and raises guidance
87,2020-01-10 07:22:00,urban outfitters stock price target cut to $25 from $28 at wedbush
88,2020-01-10 07:05:00,urban outfitters stock price target cut to $25 from $26 at deutsche bank
89,2020-01-09 05:24:00,urban outfitters stock down 9percent after holiday sales report
90,2020-01-07 02:23:00,under armour shares sink after jpmorgan forecasts a ‘full-price hangover’ that will drag down revenue
91,2020-01-02 08:01:00,victoria’s secret saved money by skipping the fashion show but holiday traffic was weak analysts say
92,2019-12-14 01:20:00,canada goose’s jackets are getting marked down for the holidays
93,2019-11-20 08:56:00,urban outfitters stock fair value estimate cut to $24 from $25 at mkm partners
94,2019-11-20 08:42:00,urban outfitters stock price target cut to $25 from $28 at jp morgan
95,2019-11-20 08:36:00,urban outfitters stock price target cut to $28 from $33 at wedbush
96,2019-11-19 05:06:00,                                                                                                        urban outfitters stock is sinking the latest casualty of a weak quarter for retail
97,2019-11-19 04:30:00,urban outfitters stock tanks after q3 profit sales misses
98,2019-11-19 04:24:00,urban outfitters stock down 9percent after q3 results
99,2019-11-12 08:18:00,urban outfitters stock price target raised to $33 from $20 at wedbush
100,2019-10-23 11:40:00,premium                                                                                                        charting a grinding-higher uptrend s&p 500 sustains october gains
101,2019-09-30 00:47:00,                                                                                                        buy urban outfitters stock because it has ‘regained momentum’
102,2019-09-30 08:46:00,urban outfitters stock price target raised to $30 from $25 at wells fargo
103,2019-09-30 08:45:00,urban outfitters upgraded to outperform at wells fargo
104,2019-09-28 05:16:00,beauty company must pay ftc $176m for falsely labeling products as organic and vegan — how not to get duped
105,2019-08-28 11:40:00,premium                                                                                                        s&p 500 nails gap resistance (2898) small-caps reverse sharply from support
106,2019-08-21 09:35:00,                                                                                                        urban outfitters stock is edging up despite downbeat sales figures
107,2019-08-21 08:48:00,urban outfitters stock fair value estimate cut to $25 from $28 at mkm partners
108,2019-08-21 07:25:00,urban outfitters stock price target cut to $20 from $26 at wedbush
109,2019-08-20 04:15:00,urban outfitters stock higher after mixed q2 results
110,2019-08-16 08:00:00,                                                                                                        american eagle stock will soar despite the trade war
111,2019-08-15 11:27:00,                                                                                                        urban outfitters stock is stuck near 2019 lows and may stay there a while
112,2019-08-15 08:11:00,urban outfitters stock price target cut to $23 from $38 at b riley fbr
113,2019-08-15 08:10:00,urban outfitters downgraded to neutral from buy at b riley fbr
114,2019-08-05 00:39:00,                                                                                                        the trade war could hurt gap and foot locker stocks analyst stays
115,2019-08-05 07:15:00,crocs lauds the fashionable names selling its clogs but analysts question if trend will hold
116,2019-05-27 10:22:00,home depot sees opportunity in tool rental
117,2019-05-22 04:42:00,urban outfitters shares slump as fashion misses cause uncertainty
118,2019-05-22 01:12:00,                                                                                                        nordstrom is just one of the stocks signaling trouble for apparel retailers
119,2019-05-22 09:41:00,urban outfitters stock price target cut to $33 from $37 at bofa merrill
120,2019-05-22 08:29:00,urban outfitters stock price target cut to $28 from $31 at mkm partners
121,2019-05-22 08:20:00,urban outfitters stock price target cut to $28 from $32 at instinet
122,2019-05-21 04:24:00,urban outfitters stock wobbles after earnings beat
123,2019-05-20 07:30:00,                                                                                                        urban outfitters reports earnings tomorrow here’s what to expect
124,2019-05-17 07:35:00,urban outfitters stock price target cut to $26 from $28 at wedbush
125,2019-04-24 05:01:00,                                                                                                        podcast a 13percent drop for urban outfitters this year and two more numbers to know
126,2019-04-23 00:49:00,                                                                                                        urban outfitters stock could tumble because sales data is ‘nose diving’ analyst warns
127,2019-04-23 08:20:00,urban outfitters stock price target cut to $28 from $35 at wedbush
128,2019-04-19 08:52:00,walgreens adds e-commerce package pick-up and return service to thousands of stores
129,2019-04-16 08:19:00,mastercard taps into buy-now pay-later trend with acquisition of vyze
130,2019-04-08 07:49:00,urban outfitters racks up 10th straight gain and analysts are feeling bullish
131,2019-04-05 08:07:00,urban outfitters stock on track for 10th-straight gain after wedbush lifts price target
132,2019-04-05 07:13:00,urban outfitters stock price raised to $35 from $30 at wedbush
133,2019-04-03 10:14:00,urban outfitters shares rise after upgrade on 'forest of opportunity' ahead
134,2019-04-03 09:52:00,urban outfitters shares rise 4percent in wednesday trading
135,2019-04-03 09:51:00,urban outfitters upgraded to buy from neutral at da davidson price target bumped to $36 from $30
